,datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature,y-predict
38,2014-8-18,56,月,0,洋食屋さんのメンチカツ,396.0,0,0,0.0,曇,0,32.2,71.0209629325646
39,2014-8-19,53,火,1,牛スキヤキ,385.0,0,0,0.0,晴れ,0,33.3,60.12587087048753
40,2014-8-20,56,水,0,豚ロースのピザ風チーズ焼き,423.0,料理長のこだわりメニュー,ママの会,0.0,快晴,0,33.3,54.97259437354167
41,2014-8-21,54,木,0,チキン南蛮,405.0,0,キャリアアップ支援セミナー,0.0,薄曇,0,33.0,46.11519920718871
42,2014-8-22,100,金,1,ロコモコ丼,0.0,お楽しみメニュー,0,0.0,晴れ,0,33.1,52.062289198017524
43,2014-8-25,55,月,0,白身魚の南部焼き,412.0,0,0,0.0,曇,0,26.0,85.83286950415794
44,2014-8-26,68,火,0,キーマカレー,400.0,0,0,0.0,雨,0,26.2,77.08789291215086
45,2014-8-27,62,水,0,カレイの唐揚げ,410.0,0,0,0.0,曇,0,21.0,84.35750579783166
46,2014-8-28,56,木,0,豚肉の胡麻シャブ,396.0,0,0,0.0,雨,0,21.6,73.34999516140871
47,2014-8-29,39,金,0,チキンの辛味噌焼き,398.0,0,0,0.0,曇,0,25.1,71.17442670975085
48,2014-9-1,65,月,1,ビーフシチュー,380.0,0,0,0.0,曇,0,23.4,92.04431419547127
49,2014-9-2,68,火,1,名古屋味噌カツ,440.0,手作りの味,0,0.0,晴れ,0,29.1,70.15974306414752
50,2014-9-3,53,水,0,親子煮,408.0,0,0,0.0,曇,0,26.7,70.74010782072166
51,2014-9-4,54,木,1,チキンステーキ・きのこソース,405.0,0,0,0.0,曇,0,26.5,61.64381093547205
52,2014-9-5,43,金,0,メンチカツ,380.0,0,0,0.0,晴れ,0,30.2,58.99043904602085
53,2014-9-8,68,月,1,鶏肉の山賊焼き,385.0,0,0,0.0,曇,0,23.1,92.76101935216127
54,2014-9-9,63,火,0,ハンバーグデミソース,460.0,0,0,0.0,晴れ,0,26.8,75.65448259877085
55,2014-9-10,54,水,0,ぶりレモンペッパー焼き,450.0,0,0,1.0,曇,0,25.0,74.80143704196499
56,2014-9-11,53,木,0,手作りチキンカツ,385.0,0,0,0.0,曇,0,21.9,72.63329000471872
57,2014-9-12,115,金,0,ポークカレー,0.0,お楽しみメニュー,0,0.0,晴れ,0,27.3,65.9185888940242
58,2014-9-16,56,火,0,チーズメンチカツ,438.0,0,0,0.0,晴れ,0,28.8,70.87644822083752
59,2014-9-17,49,水,0,チキンフリカッセ,430.0,料理長のこだわりメニュー,ママの会,0.0,曇,0,25.0,74.80143704196499
60,2014-9-18,46,木,0,カレイ唐揚げ 甘酢あん,395.0,0,0,0.0,曇,0,24.1,67.37745218899204
61,2014-9-19,45,金,0,厚切イカフライ,400.0,0,0,0.0,薄曇,0,23.6,74.75795249320085
62,2014-9-22,29,月,0,筑前煮,395.0,0,0,0.0,晴れ,0,25.2,87.74408325533128
63,2014-9-24,59,水,1,白身魚のマスタード焼き,408.0,0,0,0.0,曇,0,24.8,75.27924047975833
64,2014-9-25,50,木,0,牛カルビ焼き肉,394.0,0,0,0.0,曇,0,25.4,64.27172984333538
65,2014-9-26,45,金,0,ランチビュッフェ,0.0,スペシャルメニュー（800円）,キャリアアップ支援セミナー,0.0,晴れ,0,27.1,66.39639233181752
66,2014-9-29,56,月,1,豚肉と玉子の炒め,404.0,0,0,0.0,快晴,0,26.6,84.39945919077793
67,2014-9-30,40,火,0,鶏肉とカシューナッツ炒め,398.0,0,0,0.0,快晴,0,28.1,72.5487602531142
